index_set,mean_acc,std_acc,test_accuracy,estimator_name,num_layers,hidden_size,d_model,nhead,out_channels,dropout,weight_decay,lr,scheduler_factor,batch_size,score
284,93.6,3.8,90.0,Transformer,2,-,36,3,-,0.125,1.0e-06,4.0e-03,0.6,36,89.7
174,92.9,3.6,88.3,Transformer,2,-,60,3,-,0.025,5.0e-07,5.0e-03,0.5,28,89.3
203,91.8,2.8,90.0,Transformer,2,-,48,4,-,0.15,5.0e-07,3.5e-03,0.6,28,89.0
245,92.5,3.7,90.0,Transformer,3,-,36,4,-,0.125,1.0e-06,3.5e-03,0.5,32,88.8
263,92.9,4.2,88.3,Transformer,2,-,60,4,-,0.175,2.5e-06,3.5e-03,0.6,32,88.6
86,92.5,4.4,78.3,Transformer,2,-,48,2,-,0.125,1.0e-06,5.0e-03,0.5,28,88.1
160,92.5,4.6,90.0,Transformer,2,-,48,12,-,0.05,2.5e-06,3.5e-03,0.5,32,87.9
37,90.7,2.9,89.2,Transformer,2,-,36,4,-,0.075,1.0e-06,4.5e-03,0.5,32,87.9
82,92.5,4.6,90.8,Transformer,2,-,36,2,-,0.125,7.5e-07,4.5e-03,0.5,36,87.9
240,91.4,3.6,89.2,Transformer,2,-,48,2,-,0.025,5.0e-07,4.5e-03,0.4,28,87.8
181,91.4,3.6,84.2,Transformer,2,-,60,3,-,0.05,2.5e-06,3.5e-03,0.6,36,87.8
16,92.5,4.9,89.2,Transformer,2,-,72,4,-,0.125,5.0e-06,4.0e-03,0.4,36,87.6
236,92.9,5.5,92.5,Transformer,2,-,60,3,-,0.0,1.0e-06,3.5e-03,0.4,28,87.3
244,91.1,4.0,83.3,Transformer,3,-,36,3,-,0.05,5.0e-06,4.5e-03,0.4,32,87.1
96,92.1,5.2,86.7,Transformer,2,-,36,2,-,0.175,5.0e-06,5.0e-03,0.5,36,86.9
213,91.4,4.6,89.2,Transformer,3,-,36,3,-,0.025,2.5e-06,3.5e-03,0.5,36,86.9
289,91.4,4.6,92.5,Transformer,2,-,36,3,-,0.025,5.0e-06,3.5e-03,0.4,32,86.9
103,90.4,3.6,81.7,Transformer,2,-,48,4,-,0.125,5.0e-07,3.5e-03,0.6,36,86.8
172,90.4,3.6,86.7,Transformer,2,-,48,2,-,0.175,2.5e-06,5.0e-03,0.5,32,86.8
7,90.7,4.0,89.2,Transformer,2,-,48,3,-,0.175,5.0e-07,3.5e-03,0.6,28,86.7
22,90.7,4.0,89.2,Transformer,2,-,72,3,-,0.075,5.0e-07,4.5e-03,0.4,36,86.7
229,91.8,5.1,86.7,Transformer,2,-,48,3,-,0.0,2.5e-06,3.5e-03,0.4,28,86.7
195,91.8,5.1,90.8,Transformer,2,-,36,2,-,0.15,5.0e-07,3.5e-03,0.4,28,86.7
266,91.4,4.8,89.2,Transformer,2,-,60,12,-,0.1,5.0e-06,4.5e-03,0.4,32,86.6
268,91.4,4.8,71.7,Transformer,2,-,60,2,-,0.0,2.5e-06,4.0e-03,0.4,36,86.6
134,91.4,4.8,81.7,Transformer,2,-,72,3,-,0.175,5.0e-07,4.0e-03,0.5,36,86.6
