index_set,mean_acc,std_acc,test_accuracy,estimator_name,num_layers,hidden_size,d_model,nhead,out_channels,dropout,weight_decay,lr,scheduler_factor,batch_size,score
176,90.7,4.3,85.0,Transformer,2,-,60,4,-,0.025,5.0e-07,5.0e-03,0.5,28,86.4
13,90.7,4.6,86.7,Transformer,2,-,36,3,-,0.075,2.5e-06,4.0e-03,0.5,36,86.1
179,90.4,4.2,87.5,Transformer,2,-,36,12,-,0.1,7.5e-07,3.5e-03,0.4,32,86.1
281,90.7,4.8,90.8,Transformer,3,-,36,2,-,0.05,2.5e-06,3.5e-03,0.4,36,85.9
197,90.7,4.8,90.8,Transformer,2,-,48,4,-,0.175,1.0e-06,4.0e-03,0.5,28,85.9
150,90.7,4.8,90.8,Transformer,3,-,36,12,-,0.15,2.5e-06,3.5e-03,0.4,36,85.9
6,90.7,4.8,82.5,Transformer,2,-,48,3,-,0.05,1.0e-06,5.0e-03,0.6,28,85.9
149,91.4,5.6,86.7,Transformer,2,-,36,3,-,0.125,5.0e-07,4.5e-03,0.4,32,85.8
232,91.4,5.6,90.0,Transformer,2,-,48,2,-,0.125,2.5e-06,4.5e-03,0.5,32,85.8
51,90.4,4.5,90.0,Transformer,2,-,48,2,-,0.075,5.0e-06,3.5e-03,0.6,36,85.8
272,91.4,5.8,82.5,Transformer,2,-,36,2,-,0.1,1.0e-06,3.5e-03,0.4,36,85.6
252,90.7,5.1,90.8,Transformer,2,-,48,2,-,0.075,5.0e-06,4.5e-03,0.6,36,85.6
200,90.7,5.1,89.2,Transformer,3,-,36,3,-,0.075,5.0e-06,4.0e-03,0.4,28,85.6
8,91.8,6.2,89.2,Transformer,2,-,36,3,-,0.15,5.0e-06,3.5e-03,0.4,32,85.6
234,89.6,4.1,87.5,Transformer,2,-,72,12,-,0.175,7.5e-07,3.5e-03,0.6,32,85.6
262,90.4,4.8,91.7,Transformer,2,-,60,2,-,0.1,5.0e-06,4.0e-03,0.5,28,85.6
47,89.3,3.9,87.5,Transformer,2,-,48,2,-,0.175,7.5e-07,5.5e-03,0.6,36,85.4
113,90.7,5.3,89.2,Transformer,2,-,36,4,-,0.05,7.5e-07,5.0e-03,0.4,32,85.4
223,90.7,5.6,90.0,Transformer,2,-,36,2,-,0.0,7.5e-07,5.5e-03,0.5,32,85.1
275,90.7,5.6,88.3,Transformer,2,-,72,12,-,0.175,7.5e-07,4.5e-03,0.5,36,85.1
33,89.3,4.2,87.5,Transformer,2,-,60,12,-,0.05,7.5e-07,5.5e-03,0.5,36,85.1
98,89.3,4.2,89.2,Transformer,2,-,72,4,-,0.1,5.0e-07,4.0e-03,0.4,32,85.1
294,90.4,5.3,85.0,Transformer,2,-,60,2,-,0.1,2.5e-06,4.0e-03,0.6,32,85.0
92,91.1,6.0,90.0,Transformer,3,-,48,3,-,0.125,7.5e-07,3.5e-03,0.5,36,85.0
167,87.9,2.9,80.8,Transformer,3,-,60,4,-,0.175,1.0e-06,3.5e-03,0.6,36,85.0
235,90.0,5.0,90.0,Transformer,2,-,36,4,-,0.025,2.5e-06,4.5e-03,0.4,36,85.0
151,90.0,5.0,75.8,Transformer,2,-,48,2,-,0.075,2.5e-06,5.0e-03,0.4,28,85.0
187,90.7,5.8,80.8,Transformer,2,-,72,12,-,0.1,7.5e-07,4.5e-03,0.5,28,84.9
77,90.4,5.5,87.5,Transformer,2,-,48,12,-,0.125,7.5e-07,3.5e-03,0.5,28,84.8
295,90.4,5.5,90.0,Transformer,2,-,36,3,-,0.0,7.5e-07,4.5e-03,0.6,32,84.8
227,90.4,5.5,88.3,Transformer,2,-,36,2,-,0.125,5.0e-07,3.5e-03,0.6,36,84.8
127,91.4,6.6,88.3,Transformer,2,-,72,4,-,0.125,1.0e-06,3.5e-03,0.6,32,84.8
153,89.3,4.5,86.7,Transformer,3,-,48,12,-,0.075,5.0e-07,3.5e-03,0.5,36,84.8
158,91.1,6.4,90.8,Transformer,2,-,36,4,-,0.125,2.5e-06,4.0e-03,0.5,32,84.6
198,88.9,4.4,85.0,Transformer,3,-,36,2,-,0.15,7.5e-07,4.0e-03,0.6,28,84.6
180,90.0,5.5,86.7,Transformer,2,-,72,3,-,0.15,7.5e-07,3.5e-03,0.5,36,84.5
54,89.3,4.8,88.3,Transformer,2,-,72,4,-,0.15,5.0e-06,4.0e-03,0.6,36,84.5
137,89.6,5.2,85.8,Transformer,2,-,60,4,-,0.15,2.5e-06,5.0e-03,0.6,28,84.5
21,89.6,5.2,83.3,Transformer,3,-,36,3,-,0.175,5.0e-07,4.0e-03,0.6,28,84.5
29,89.6,5.2,84.2,Transformer,2,-,72,2,-,0.0,2.5e-06,4.0e-03,0.4,36,84.5
297,91.1,6.6,88.3,Transformer,2,-,36,12,-,0.15,7.5e-07,4.5e-03,0.5,28,84.4
68,88.9,4.6,82.5,Transformer,2,-,60,12,-,0.025,2.5e-06,4.0e-03,0.5,28,84.3
111,88.9,4.6,85.8,Transformer,2,-,72,3,-,0.175,5.0e-07,4.5e-03,0.4,36,84.3
136,90.7,6.4,89.2,Transformer,2,-,60,4,-,0.175,2.5e-06,4.0e-03,0.4,36,84.3
228,89.3,5.1,70.8,Transformer,3,-,48,12,-,0.05,1.0e-06,4.0e-03,0.4,36,84.2
215,90.4,6.2,86.7,Transformer,2,-,60,3,-,0.175,5.0e-06,3.5e-03,0.4,32,84.2
15,88.6,4.5,89.2,Transformer,2,-,36,4,-,0.0,2.5e-06,5.5e-03,0.6,36,84.1
106,89.6,5.6,84.2,Transformer,2,-,48,3,-,0.075,2.5e-06,5.5e-03,0.6,28,84.0
280,89.3,5.3,87.5,Transformer,2,-,60,3,-,0.05,1.0e-06,4.5e-03,0.6,36,84.0
88,88.6,4.7,85.8,Transformer,2,-,48,12,-,0.0,2.5e-06,5.5e-03,0.6,32,83.8
83,89.6,5.9,88.3,Transformer,2,-,72,12,-,0.0,2.5e-06,3.5e-03,0.6,28,83.8
97,89.6,5.9,86.7,Transformer,2,-,60,12,-,0.125,2.5e-06,5.0e-03,0.6,28,83.8
121,89.6,5.9,90.8,Transformer,2,-,48,3,-,0.025,1.0e-06,4.5e-03,0.6,36,83.8
48,88.9,5.2,86.7,Transformer,2,-,60,4,-,0.025,1.0e-06,5.5e-03,0.6,32,83.8
285,88.9,5.2,86.7,Transformer,2,-,60,4,-,0.025,1.0e-06,5.5e-03,0.6,32,83.8
94,88.9,5.2,87.5,Transformer,2,-,36,2,-,0.075,5.0e-06,5.0e-03,0.4,28,83.8
41,89.3,5.5,88.3,Transformer,2,-,72,12,-,0.0,5.0e-07,4.5e-03,0.5,32,83.8
253,90.0,6.3,84.2,Transformer,2,-,48,3,-,0.175,7.5e-07,5.0e-03,0.4,28,83.7
169,88.6,5.0,83.3,Transformer,2,-,60,3,-,0.175,1.0e-06,5.5e-03,0.6,28,83.6
38,89.6,6.1,87.5,Transformer,3,-,36,3,-,0.1,7.5e-07,4.0e-03,0.4,36,83.6
212,89.6,6.1,85.8,Transformer,2,-,36,3,-,0.1,2.5e-06,5.5e-03,0.4,32,83.6
282,88.9,5.4,88.3,Transformer,2,-,60,12,-,0.025,5.0e-06,3.5e-03,0.6,32,83.5
128,90.0,6.5,90.8,Transformer,2,-,60,2,-,0.125,5.0e-06,4.0e-03,0.6,36,83.5
208,88.6,5.2,90.8,Transformer,2,-,48,3,-,0.1,1.0e-06,5.0e-03,0.4,36,83.3
131,88.9,5.6,87.5,Transformer,2,-,72,12,-,0.075,2.5e-06,5.0e-03,0.4,36,83.3
109,89.6,6.5,91.7,Transformer,2,-,36,4,-,0.05,1.0e-06,5.0e-03,0.4,32,83.2
164,88.9,5.9,87.5,Transformer,2,-,60,2,-,0.075,7.5e-07,5.0e-03,0.4,32,83.1
73,88.2,5.3,81.7,Transformer,2,-,60,3,-,0.075,7.5e-07,5.5e-03,0.6,28,82.9
26,88.2,5.3,85.0,Transformer,2,-,72,12,-,0.1,7.5e-07,5.0e-03,0.4,36,82.9
171,90.0,7.1,88.3,Transformer,2,-,60,12,-,0.075,7.5e-07,4.5e-03,0.5,28,82.9
46,88.2,5.5,89.2,Transformer,2,-,72,2,-,0.025,1.0e-06,3.5e-03,0.6,28,82.7
219,87.5,4.9,71.7,Transformer,3,-,36,3,-,0.175,5.0e-07,4.5e-03,0.6,36,82.6
89,87.9,5.3,80.0,Transformer,2,-,72,4,-,0.175,5.0e-07,5.0e-03,0.6,36,82.5
199,88.6,6.1,87.5,Transformer,2,-,72,3,-,0.05,7.5e-07,4.0e-03,0.5,36,82.4
1,89.3,7.0,83.3,Transformer,2,-,60,3,-,0.175,5.0e-06,4.0e-03,0.5,32,82.3
112,87.9,5.6,80.8,Transformer,2,-,72,3,-,0.05,1.0e-06,5.0e-03,0.6,36,82.3
298,86.8,4.5,75.8,Transformer,2,-,72,4,-,0.025,1.0e-06,5.5e-03,0.6,36,82.3
78,88.6,6.3,80.8,Transformer,2,-,72,2,-,0.175,7.5e-07,5.0e-03,0.5,36,82.2
278,88.2,6.4,86.7,Transformer,2,-,72,12,-,0.15,7.5e-07,4.5e-03,0.5,32,81.8
154,87.1,5.3,89.2,Transformer,3,-,36,4,-,0.175,1.0e-06,4.0e-03,0.5,32,81.8
196,87.1,5.3,90.8,Transformer,2,-,48,3,-,0.125,5.0e-07,5.5e-03,0.5,36,81.8
211,88.6,6.9,91.7,Transformer,2,-,48,2,-,0.025,5.0e-06,5.5e-03,0.4,36,81.6
124,88.2,6.8,86.7,Transformer,3,-,48,12,-,0.05,7.5e-07,3.5e-03,0.5,36,81.4
141,89.3,8.1,88.3,Transformer,2,-,48,2,-,0.1,5.0e-07,5.0e-03,0.6,28,81.1
144,87.1,6.0,85.0,Transformer,2,-,60,3,-,0.0,5.0e-07,5.5e-03,0.6,32,81.1
242,88.9,8.1,84.2,Transformer,2,-,72,2,-,0.025,5.0e-07,3.5e-03,0.6,28,80.9
102,86.8,6.0,82.5,Transformer,2,-,72,12,-,0.05,1.0e-06,4.0e-03,0.5,32,80.8
288,87.1,6.6,90.0,Transformer,2,-,60,2,-,0.15,5.0e-07,5.5e-03,0.6,32,80.5
125,87.5,7.2,80.8,Transformer,3,-,36,4,-,0.1,5.0e-07,4.5e-03,0.6,32,80.3
23,85.4,5.2,76.7,Transformer,2,-,72,3,-,0.15,5.0e-07,5.5e-03,0.6,36,80.2
287,85.0,5.0,80.8,Transformer,2,-,72,2,-,0.075,7.5e-07,5.0e-03,0.4,28,80.0
138,86.4,6.5,66.7,Transformer,3,-,60,2,-,0.025,5.0e-07,3.5e-03,0.6,36,79.9
156,85.0,5.2,83.3,Transformer,2,-,72,2,-,0.025,7.5e-07,4.5e-03,0.5,28,79.8
248,85.7,6.0,81.7,Transformer,2,-,72,4,-,0.025,2.5e-06,5.0e-03,0.5,28,79.7
85,87.9,8.6,88.3,Transformer,2,-,72,12,-,0.025,5.0e-07,4.0e-03,0.4,32,79.2
100,85.7,6.6,78.3,Transformer,3,-,36,3,-,0.0,7.5e-07,5.0e-03,0.6,32,79.1
56,86.1,7.0,80.8,Transformer,2,-,72,2,-,0.025,7.5e-07,4.5e-03,0.6,32,79.0
230,83.6,5.6,75.8,Transformer,2,-,72,2,-,0.175,5.0e-06,5.0e-03,0.5,32,78.0
224,87.1,9.2,86.7,Transformer,3,-,36,4,-,0.1,7.5e-07,5.0e-03,0.6,36,77.9
225,87.1,9.3,80.0,Transformer,2,-,72,12,-,0.075,5.0e-06,5.0e-03,0.6,28,77.8
12,85.7,8.1,80.8,Transformer,3,-,36,2,-,0.0,5.0e-06,4.5e-03,0.4,28,77.6
11,86.1,9.2,72.5,Transformer,3,-,36,3,-,0.1,5.0e-07,5.5e-03,0.4,32,76.8
93,81.8,6.3,72.5,Transformer,2,-,72,2,-,0.1,5.0e-06,5.5e-03,0.4,32,75.5
118,83.6,8.6,65.8,Transformer,3,-,60,4,-,0.075,1.0e-06,4.0e-03,0.6,36,74.9
9,80.4,8.2,65.8,Transformer,2,-,72,4,-,0.075,1.0e-06,5.5e-03,0.5,28,72.2
147,79.6,12.2,68.3,Transformer,4,-,36,2,-,0.175,1.0e-06,3.5e-03,0.4,36,67.5
39,79.3,11.9,87.5,Transformer,3,-,48,3,-,0.1,7.5e-07,4.5e-03,0.5,36,67.4
267,83.6,16.4,80.8,Transformer,3,-,60,4,-,0.125,5.0e-06,3.5e-03,0.4,28,67.2
95,79.3,12.2,78.3,Transformer,2,-,72,2,-,0.175,7.5e-07,5.5e-03,0.6,32,67.0
34,83.2,16.6,68.3,Transformer,3,-,60,4,-,0.15,1.0e-06,4.0e-03,0.6,28,66.6
60,81.8,16.1,80.0,Transformer,3,-,36,3,-,0.0,5.0e-06,5.0e-03,0.5,32,65.7
271,83.6,18.0,45.8,Transformer,3,-,36,2,-,0.1,5.0e-07,4.5e-03,0.6,32,65.6
191,81.8,16.9,92.5,Transformer,3,-,48,2,-,0.025,7.5e-07,3.5e-03,0.5,28,64.9
218,79.3,14.4,69.2,Transformer,3,-,48,2,-,0.15,1.0e-06,4.0e-03,0.5,32,64.8
265,80.4,15.7,61.7,Transformer,3,-,48,4,-,0.0,1.0e-06,4.0e-03,0.4,32,64.7
18,80.0,16.7,84.2,Transformer,3,-,72,12,-,0.1,2.5e-06,3.5e-03,0.4,36,63.3
279,77.1,14.7,11.7,Transformer,3,-,36,3,-,0.05,5.0e-07,5.5e-03,0.5,32,62.5
87,80.7,19.6,80.8,Transformer,3,-,48,12,-,0.025,5.0e-06,4.5e-03,0.6,36,61.1
145,78.9,18.9,69.2,Transformer,3,-,48,2,-,0.075,2.5e-06,4.5e-03,0.5,36,60.0
163,80.0,20.6,81.7,Transformer,3,-,36,2,-,0.05,2.5e-06,5.5e-03,0.6,36,59.4
45,75.0,17.1,50.8,Transformer,3,-,60,3,-,0.0,2.5e-06,4.0e-03,0.6,32,57.9
258,73.9,18.7,35.8,Transformer,3,-,60,4,-,0.075,5.0e-06,4.5e-03,0.5,36,55.2
28,76.8,21.6,59.2,Transformer,3,-,36,3,-,0.05,7.5e-07,5.5e-03,0.5,32,55.2
184,75.0,21.1,66.7,Transformer,3,-,48,2,-,0.175,5.0e-07,4.0e-03,0.5,32,53.9
209,75.0,21.7,51.7,Transformer,4,-,36,2,-,0.0,5.0e-06,3.5e-03,0.5,32,53.3
64,72.9,20.4,83.3,Transformer,3,-,72,2,-,0.1,5.0e-07,3.5e-03,0.6,36,52.5
117,70.7,18.3,45.8,Transformer,3,-,36,3,-,0.125,5.0e-07,5.5e-03,0.4,28,52.4
71,67.1,16.7,90.0,Transformer,3,-,36,3,-,0.05,5.0e-07,5.5e-03,0.6,28,50.4
27,72.1,23.4,82.5,Transformer,3,-,48,12,-,0.175,2.5e-06,4.0e-03,0.5,32,48.7
255,68.2,19.5,19.2,Transformer,4,-,36,12,-,0.175,2.5e-06,4.0e-03,0.6,32,48.7
188,71.8,23.4,39.2,Transformer,4,-,36,3,-,0.025,2.5e-06,3.5e-03,0.5,36,48.3
182,71.8,23.9,34.2,Transformer,3,-,60,3,-,0.15,5.0e-06,4.0e-03,0.6,32,47.9
159,66.8,19.6,69.2,Transformer,3,-,72,12,-,0.075,7.5e-07,3.5e-03,0.4,28,47.2
43,66.4,20.7,34.2,Transformer,4,-,36,3,-,0.1,2.5e-06,3.5e-03,0.4,32,45.8
161,68.2,22.8,80.8,Transformer,3,-,48,12,-,0.175,2.5e-06,4.5e-03,0.6,28,45.4
221,66.4,21.8,70.8,Transformer,3,-,72,2,-,0.025,2.5e-06,3.5e-03,0.4,36,44.6
256,65.4,21.4,66.7,Transformer,3,-,60,3,-,0.15,1.0e-06,4.0e-03,0.4,32,44.0
239,66.1,22.9,43.3,Transformer,3,-,48,12,-,0.0,1.0e-06,5.5e-03,0.5,36,43.1
140,65.4,23.1,55.8,Transformer,3,-,48,3,-,0.15,5.0e-07,5.0e-03,0.5,36,42.3
5,60.0,18.5,35.8,Transformer,3,-,60,2,-,0.15,5.0e-06,4.5e-03,0.6,36,41.5
238,66.8,26.1,75.8,Transformer,3,-,72,12,-,0.1,2.5e-06,3.5e-03,0.5,32,40.7
273,62.1,21.5,62.5,Transformer,3,-,60,12,-,0.0,5.0e-06,4.0e-03,0.4,28,40.6
132,57.9,17.8,34.2,Transformer,3,-,60,3,-,0.025,2.5e-06,5.0e-03,0.5,36,40.0
146,62.1,22.5,19.2,Transformer,4,-,36,4,-,0.075,1.0e-06,4.5e-03,0.4,36,39.6
186,60.0,21.2,65.8,Transformer,4,-,36,12,-,0.075,2.5e-06,3.5e-03,0.6,28,38.8
148,60.7,22.0,65.0,Transformer,3,-,48,2,-,0.125,2.5e-06,4.5e-03,0.4,28,38.8
251,61.1,22.5,35.8,Transformer,3,-,72,4,-,0.125,7.5e-07,4.5e-03,0.6,36,38.6
216,60.4,22.4,36.7,Transformer,3,-,60,2,-,0.025,1.0e-06,5.0e-03,0.6,36,37.9
30,55.0,17.7,70.0,Transformer,3,-,60,3,-,0.025,7.5e-07,4.5e-03,0.4,32,37.3
90,54.6,17.7,44.2,Transformer,3,-,60,3,-,0.15,5.0e-06,5.0e-03,0.6,36,36.9
32,60.4,23.4,35.8,Transformer,3,-,48,2,-,0.075,1.0e-06,4.5e-03,0.5,32,36.9
36,48.9,12.7,67.5,Transformer,3,-,60,3,-,0.05,2.5e-06,4.5e-03,0.4,28,36.2
237,55.4,19.1,19.2,Transformer,4,-,36,12,-,0.075,5.0e-06,4.0e-03,0.4,32,36.2
193,57.1,21.7,79.2,Transformer,3,-,72,12,-,0.025,7.5e-07,4.0e-03,0.4,32,35.4
70,61.1,25.8,35.8,Transformer,4,-,36,12,-,0.1,7.5e-07,4.0e-03,0.4,32,35.2
52,60.0,24.8,51.7,Transformer,3,-,48,4,-,0.1,1.0e-06,4.5e-03,0.6,28,35.2
55,54.3,19.1,34.2,Transformer,3,-,72,2,-,0.15,5.0e-06,4.0e-03,0.5,32,35.2
49,41.4,6.8,34.2,Transformer,4,-,60,2,-,0.05,5.0e-07,3.5e-03,0.5,32,34.6
3,51.1,16.8,35.8,Transformer,3,-,60,4,-,0.125,5.0e-06,4.5e-03,0.4,32,34.3
276,51.8,18.4,35.8,Transformer,3,-,60,4,-,0.15,2.5e-06,5.0e-03,0.4,36,33.4
270,48.6,15.3,42.5,Transformer,3,-,60,4,-,0.0,5.0e-06,4.5e-03,0.5,32,33.3
202,52.9,19.9,40.0,Transformer,3,-,60,12,-,0.0,5.0e-07,5.5e-03,0.5,36,33.0
299,55.7,22.8,61.7,Transformer,3,-,72,12,-,0.05,7.5e-07,4.0e-03,0.5,32,32.9
274,35.0,2.1,34.2,Transformer,4,-,60,12,-,0.15,5.0e-06,5.0e-03,0.5,32,32.9
79,35.4,2.5,34.2,Transformer,4,-,72,3,-,0.0,2.5e-06,4.0e-03,0.6,36,32.9
254,50.7,17.9,35.8,Transformer,3,-,72,12,-,0.05,1.0e-06,5.0e-03,0.5,36,32.8
129,41.8,9.0,35.8,Transformer,3,-,60,2,-,0.175,5.0e-06,5.0e-03,0.6,32,32.7
50,57.1,24.5,61.7,Transformer,3,-,48,2,-,0.125,7.5e-07,4.5e-03,0.4,28,32.7
74,36.4,3.8,35.8,Transformer,4,-,36,4,-,0.0,1.0e-06,5.0e-03,0.5,36,32.6
226,33.9,1.8,35.8,Transformer,4,-,72,3,-,0.0,2.5e-06,3.5e-03,0.5,28,32.1
81,55.0,23.0,70.0,Transformer,3,-,60,3,-,0.15,1.0e-06,4.5e-03,0.6,28,32.0
116,35.4,3.4,35.8,Transformer,4,-,60,3,-,0.075,5.0e-07,4.5e-03,0.5,32,32.0
243,43.6,11.6,65.8,Transformer,3,-,72,4,-,0.15,5.0e-06,4.0e-03,0.6,28,32.0
58,33.6,1.7,20.8,Transformer,4,-,48,3,-,0.125,2.5e-06,5.5e-03,0.4,28,31.8
59,53.9,22.2,77.5,Transformer,3,-,60,3,-,0.1,5.0e-06,4.5e-03,0.6,32,31.7
292,33.2,1.6,20.8,Transformer,4,-,60,2,-,0.15,1.0e-06,4.0e-03,0.6,32,31.6
207,55.0,23.5,56.7,Transformer,3,-,60,4,-,0.025,7.5e-07,5.0e-03,0.6,28,31.5
123,41.8,10.6,20.8,Transformer,4,-,60,12,-,0.075,1.0e-06,3.5e-03,0.4,36,31.2
231,53.2,22.0,46.7,Transformer,3,-,60,2,-,0.0,1.0e-06,4.5e-03,0.6,28,31.2
291,41.1,10.0,34.2,Transformer,4,-,36,4,-,0.175,5.0e-07,5.5e-03,0.4,32,31.1
175,36.1,5.4,34.2,Transformer,4,-,48,3,-,0.075,1.0e-06,4.0e-03,0.6,36,30.7
214,55.0,24.5,37.5,Transformer,4,-,36,4,-,0.1,1.0e-06,4.0e-03,0.5,32,30.5
31,37.1,6.8,35.8,Transformer,3,-,72,4,-,0.125,5.0e-07,5.0e-03,0.4,28,30.3
260,38.2,8.0,35.8,Transformer,3,-,72,3,-,0.05,5.0e-07,5.5e-03,0.6,36,30.2
222,39.3,9.3,70.8,Transformer,3,-,60,2,-,0.1,5.0e-06,4.5e-03,0.6,28,30.0
119,36.8,7.0,56.7,Transformer,3,-,48,3,-,0.1,2.5e-06,5.5e-03,0.4,28,29.8
115,49.3,19.5,55.8,Transformer,3,-,72,4,-,0.1,1.0e-06,4.0e-03,0.5,32,29.8
185,35.7,6.0,34.2,Transformer,3,-,72,2,-,0.175,5.0e-06,5.5e-03,0.4,28,29.7
286,41.8,12.1,35.8,Transformer,3,-,72,4,-,0.15,5.0e-06,4.5e-03,0.4,28,29.7
173,50.4,20.7,34.2,Transformer,3,-,60,2,-,0.0,7.5e-07,5.5e-03,0.5,36,29.6
220,36.1,6.5,34.2,Transformer,4,-,72,12,-,0.0,5.0e-06,3.5e-03,0.5,36,29.6
67,43.2,13.7,40.8,Transformer,3,-,60,4,-,0.05,5.0e-07,5.0e-03,0.6,28,29.5
183,36.8,7.3,37.5,Transformer,3,-,60,4,-,0.05,2.5e-06,5.5e-03,0.6,32,29.5
17,41.4,12.0,36.7,Transformer,4,-,36,2,-,0.025,5.0e-06,4.5e-03,0.6,28,29.5
114,43.6,14.3,39.2,Transformer,3,-,72,12,-,0.05,5.0e-07,4.5e-03,0.5,28,29.3
143,42.5,13.2,39.2,Transformer,3,-,48,4,-,0.1,7.5e-07,5.5e-03,0.6,28,29.3
107,33.6,4.3,34.2,Transformer,4,-,48,12,-,0.175,5.0e-06,4.0e-03,0.5,28,29.3
233,48.2,19.0,40.0,Transformer,3,-,72,3,-,0.175,2.5e-06,5.0e-03,0.4,32,29.2
110,36.4,7.3,35.8,Transformer,4,-,48,2,-,0.025,2.5e-06,5.0e-03,0.6,36,29.1
61,33.9,4.9,20.8,Transformer,4,-,72,2,-,0.125,2.5e-06,5.5e-03,0.6,28,29.1
2,33.2,4.2,34.2,Transformer,4,-,48,3,-,0.15,5.0e-07,4.0e-03,0.4,28,29.0
10,32.9,4.2,20.8,Transformer,4,-,48,12,-,0.025,5.0e-07,5.0e-03,0.4,36,28.7
165,50.0,21.3,73.3,Transformer,3,-,48,4,-,0.15,2.5e-06,4.5e-03,0.5,28,28.7
69,33.2,4.5,34.2,Transformer,4,-,48,4,-,0.15,1.0e-06,5.5e-03,0.4,36,28.7
210,33.2,4.5,35.8,Transformer,4,-,72,3,-,0.15,2.5e-06,5.5e-03,0.5,36,28.7
217,33.2,4.5,34.2,Transformer,4,-,48,4,-,0.175,2.5e-06,5.5e-03,0.5,28,28.7
4,34.6,6.0,20.8,Transformer,4,-,60,12,-,0.0,5.0e-07,4.5e-03,0.6,36,28.7
170,48.6,20.0,35.8,Transformer,4,-,48,3,-,0.0,5.0e-07,3.5e-03,0.5,32,28.6
300,42.5,14.0,83.3,Transformer,3,-,48,2,-,0.1,5.0e-07,5.0e-03,0.4,28,28.5
20,32.9,4.5,35.8,Transformer,4,-,72,3,-,0.075,7.5e-07,5.5e-03,0.4,32,28.4
62,35.0,6.7,35.8,Transformer,3,-,72,2,-,0.1,5.0e-07,5.0e-03,0.4,32,28.3
247,45.0,16.8,56.7,Transformer,3,-,72,2,-,0.05,5.0e-07,4.0e-03,0.4,32,28.2
53,45.0,16.8,35.8,Transformer,4,-,60,4,-,0.175,5.0e-06,3.5e-03,0.5,32,28.2
75,47.9,19.8,35.8,Transformer,3,-,60,4,-,0.125,7.5e-07,5.0e-03,0.6,32,28.1
126,47.9,19.8,35.8,Transformer,3,-,72,2,-,0.075,5.0e-07,4.0e-03,0.5,28,28.0
283,45.4,17.4,44.2,Transformer,3,-,60,4,-,0.125,7.5e-07,5.5e-03,0.6,28,27.9
