index_set,mean_acc,std_acc,test_accuracy,estimator_name,num_layers,hidden_size,d_model,nhead,out_channels,dropout,weight_decay,lr,scheduler_factor,batch_size,score
37,92.1,3.8,89.2,Transformer,2,-,60.0,12.0,-,0.175,1.0e-06,3.5e-03,0.5,28,88.3
1,90.4,3.2,84.2,Transformer,2,-,60.0,12.0,-,0.175,7.5e-07,4.5e-03,0.4,32,87.1
51,92.1,5.0,90.8,Transformer,3,-,36.0,12.0,-,0.175,1.0e-06,3.5e-03,0.5,36,87.1
66,91.8,4.8,88.3,Transformer,2,-,36.0,3.0,-,0.175,5.0e-06,5.5e-03,0.4,28,87.0
32,90.4,4.5,88.3,Transformer,2,-,36.0,12.0,-,0.15,5.0e-06,5.0e-03,0.5,36,85.8
24,91.1,5.6,89.2,Transformer,2,-,36.0,4.0,-,0.175,1.0e-06,5.0e-03,0.4,28,85.5
61,90.4,5.1,87.5,Transformer,2,-,48.0,3.0,-,0.125,5.0e-06,4.0e-03,0.6,32,85.3
54,89.6,4.4,83.3,Transformer,2,-,60.0,3.0,-,0.175,5.0e-07,5.5e-03,0.4,36,85.3
84,90.4,6.2,90.8,Transformer,3,-,36.0,3.0,-,0.15,2.5e-06,3.5e-03,0.4,36,84.2
99,88.9,5.2,75.8,Transformer,2,-,60.0,2.0,-,0.15,1.0e-06,5.0e-03,0.5,28,83.8
4,88.9,6.3,89.2,Transformer,2,-,72.0,4.0,-,0.025,1.0e-06,3.5e-03,0.5,28,82.7
16,87.5,6.0,80.8,Transformer,2,-,72.0,12.0,-,0.05,7.5e-07,5.5e-03,0.6,32,81.5
38,87.9,8.3,84.2,Transformer,2,-,72.0,4.0,-,0.175,2.5e-06,4.0e-03,0.4,32,79.5
83,82.5,5.6,82.5,Transformer,2,-,60.0,3.0,-,0.0,7.5e-07,5.5e-03,0.4,28,76.9
59,80.0,17.4,38.3,Transformer,3,-,36.0,4.0,-,0.125,2.5e-06,5.0e-03,0.6,36,62.6
