index_set,mean_acc,std_acc,test_accuracy,estimator_name,num_layers,hidden_size,d_model,nhead,out_channels,dropout,weight_decay,lr,scheduler_factor,batch_size,score
25,95.4,3.2,93.3,Transformer,2,-,36.0,4.0,-,0.05,1.0e-06,5.5e-03,0.6,28,92.1
88,94.3,2.4,85.0,Transformer,2,-,36.0,4.0,-,0.125,7.5e-07,5.0e-03,0.6,32,91.9
67,93.9,4.8,80.8,Transformer,2,-,60.0,3.0,-,0.15,1.0e-06,4.5e-03,0.5,32,89.1
78,93.2,4.4,85.8,Transformer,2,-,60.0,3.0,-,0.075,7.5e-07,4.0e-03,0.4,36,88.9
35,93.2,4.6,83.3,Transformer,2,-,36.0,2.0,-,0.1,1.0e-06,5.5e-03,0.5,32,88.6
27,91.8,3.6,90.0,Transformer,2,-,48.0,12.0,-,0.0,7.5e-07,3.5e-03,0.6,36,88.2
97,91.4,4.0,89.2,Transformer,2,-,60.0,2.0,-,0.0,7.5e-07,5.5e-03,0.4,36,87.5
82,91.4,4.0,86.7,Transformer,2,-,60.0,3.0,-,0.0,5.0e-07,4.5e-03,0.6,28,87.5
37,91.8,4.5,84.2,Transformer,2,-,72.0,3.0,-,0.0,2.5e-06,4.5e-03,0.5,36,87.3
16,89.3,5.3,85.0,Transformer,2,-,72.0,4.0,-,0.15,1.0e-06,5.0e-03,0.4,32,84.0
75,85.0,8.4,75.0,Transformer,2,-,72.0,2.0,-,0.075,5.0e-06,5.5e-03,0.6,36,76.6
80,84.3,18.6,82.5,Transformer,3,-,60.0,12.0,-,0.175,5.0e-07,3.5e-03,0.5,36,65.7
73,73.9,25.8,59.2,Transformer,4,-,36.0,12.0,-,0.025,2.5e-06,4.0e-03,0.4,28,48.2
47,46.8,15.0,53.3,Transformer,3,-,60.0,4.0,-,0.075,5.0e-06,4.5e-03,0.6,28,31.8
6,50.7,19.4,40.0,Transformer,3,-,60.0,12.0,-,0.175,5.0e-06,5.0e-03,0.5,28,31.3
81,55.0,25.8,43.3,Transformer,3,-,48.0,4.0,-,0.1,5.0e-06,5.5e-03,0.6,36,29.2
33,40.0,17.8,19.2,Transformer,4,-,36.0,12.0,-,0.1,1.0e-06,4.5e-03,0.4,28,22.2
55,28.6,8.0,37.5,Transformer,3,-,72.0,3.0,-,0.1,5.0e-07,4.5e-03,0.4,36,20.6
17,33.6,14.9,47.5,Transformer,3,-,72.0,3.0,-,0.1,7.5e-07,4.5e-03,0.4,28,18.7
1,30.4,11.9,20.8,Transformer,3,-,60.0,3.0,-,0.05,5.0e-07,5.5e-03,0.6,36,18.5
36,20.0,1.7,20.8,LSTM,3,80.0,-,-,-,0.075,2.5e-06,3.5e-03,0.5,32,18.3
26,20.0,1.7,20.8,CNN + LSTM,2,80.0,-,-,32.0,0.0,7.5e-07,5.5e-03,0.6,32,18.3
29,20.0,1.7,20.8,CNN + LSTM,3,96.0,-,-,16.0,0.175,5.0e-06,3.5e-03,0.5,32,18.3
31,20.0,1.7,20.8,CNN + LSTM,4,64.0,-,-,8.0,0.0,1.0e-06,4.5e-03,0.6,32,18.3
28,20.0,1.7,20.8,CNN + LSTM,3,80.0,-,-,16.0,0.1,2.5e-06,4.0e-03,0.5,36,18.3
3,20.0,1.7,20.8,LSTM,2,80.0,-,-,-,0.0,2.5e-06,5.0e-03,0.4,32,18.3
2,20.0,1.7,20.8,LSTM,3,96.0,-,-,-,0.05,5.0e-06,5.5e-03,0.4,36,18.3
7,20.0,1.7,20.8,CNN + LSTM,3,64.0,-,-,32.0,0.025,2.5e-06,5.0e-03,0.6,32,18.3
15,20.0,1.7,20.8,CNN + LSTM,3,80.0,-,-,32.0,0.075,5.0e-07,4.0e-03,0.5,36,18.3
19,20.0,1.7,20.8,CNN + LSTM,2,80.0,-,-,8.0,0.175,5.0e-06,4.0e-03,0.6,32,18.3
23,20.0,1.7,20.8,CNN + LSTM,3,96.0,-,-,16.0,0.1,2.5e-06,4.5e-03,0.4,36,18.3
24,20.0,1.7,20.8,LSTM,4,64.0,-,-,-,0.125,7.5e-07,4.5e-03,0.5,36,18.3
13,20.0,1.7,20.8,LSTM,2,64.0,-,-,-,0.0,7.5e-07,4.5e-03,0.5,36,18.3
14,20.0,1.7,20.8,CNN + LSTM,3,64.0,-,-,16.0,0.175,5.0e-06,4.5e-03,0.6,32,18.3
12,20.0,1.7,20.8,CNN + LSTM,4,64.0,-,-,32.0,0.1,5.0e-06,5.0e-03,0.4,32,18.3
10,20.0,1.7,20.8,LSTM,3,80.0,-,-,-,0.075,5.0e-06,3.5e-03,0.5,28,18.3
92,20.0,1.7,20.8,LSTM,3,96.0,-,-,-,0.125,5.0e-06,4.5e-03,0.6,32,18.3
93,20.0,1.7,20.8,LSTM,2,96.0,-,-,-,0.125,7.5e-07,4.5e-03,0.5,32,18.3
96,20.0,1.7,20.8,CNN + LSTM,3,80.0,-,-,16.0,0.025,7.5e-07,3.5e-03,0.5,28,18.3
95,20.0,1.7,20.8,CNN + LSTM,2,96.0,-,-,32.0,0.175,5.0e-06,5.5e-03,0.4,36,18.3
89,20.0,1.7,20.8,CNN + LSTM,4,64.0,-,-,8.0,0.1,5.0e-06,3.5e-03,0.4,36,18.3
68,20.0,1.7,20.8,CNN + LSTM,3,96.0,-,-,16.0,0.0,2.5e-06,5.0e-03,0.5,32,18.3
65,20.0,1.7,20.8,LSTM,4,96.0,-,-,-,0.025,5.0e-07,4.0e-03,0.4,32,18.3
66,20.0,1.7,20.8,CNN + LSTM,3,80.0,-,-,32.0,0.025,7.5e-07,3.5e-03,0.6,28,18.3
